country_code,country_name,year,value
RUS,Russia,2017,6.15
RUS,Russia,2018,6.07
RUS,Russia,2019,6.12
NOR,Norway,2003,19.71
NOR,Norway,2004,20.16
NOR,Norway,2005,20.24
NOR,Norway,2006,20.31
NOR,Norway,2007,20.09
NOR,Norway,2008,20.05
NOR,Norway,2009,20.6
NOR,Norway,2010,20.91
NOR,Norway,2011,21.14
NOR,Norway,2012,21.08
NOR,Norway,2013,21.33
NOR,Norway,2014,21.4
NOR,Norway,2015,21.54
NOR,Norway,2016,21.91
NOR,Norway,2017,22.05
NOR,Norway,2018,21.89
NOR,Norway,2019,21.84
NOR,Norway,2020,21.95
NOR,Norway,2021,21.59
NOR,Norway,2022,21.3
ROU,Romania,2003,2.81
ROU,Romania,2004,3.53
ROU,Romania,2005,3.53
ROU,Romania,2006,3.8
ROU,Romania,2007,3.72
ROU,Romania,2008,3.83
ROU,Romania,2009,3.97
ROU,Romania,2010,4.18
ROU,Romania,2011,4.26
ROU,Romania,2012,4.03
ROU,Romania,2013,4.04
ROU,Romania,2014,4.17
ROU,Romania,2015,4.43
ROU,Romania,2016,4.5
ROU,Romania,2017,4.61
ROU,Romania,2018,4.62
ROU,Romania,2019,4.78
ROU,Romania,2020,4.82
ROU,Romania,2021,5.42
ROU,Romania,2022,5.51
ROU,Romania,2023,5.29
FRA,France,2003,12.58
FRA,France,2004,12.83
FRA,France,2005,13.08
FRA,France,2006,13.33
FRA,France,2007,13.43
FRA,France,2008,13.43
FRA,France,2009,13.89
FRA,France,2010,14.08
FRA,France,2011,14.33
FRA,France,2012,14.46
FRA,France,2013,14.65
FRA,France,2014,14.54
FRA,France,2015,14.63
FRA,France,2016,14.64
FRA,France,2017,14.59
FRA,France,2018,14.49
FRA,France,2019,14.5
FRA,France,2020,14.65
FRA,France,2021,14.57
FRA,France,2022,14.31
ISL,Iceland,2003,12.32
ISL,Iceland,2004,11.75
ISL,Iceland,2005,11.39
ISL,Iceland,2006,11.08
ISL,Iceland,2007,10.77
ISL,Iceland,2008,11.35
ISL,Iceland,2009,12.45
ISL,Iceland,2010,12.13
ISL,Iceland,2011,11.81
ISL,Iceland,2012,11.79
