country_code,country_name,year,value
AUS,Australia,2005,100.0
AUS,Australia,2006,100.0
AUS,Australia,2007,100.0
AUS,Australia,2008,100.0
AUS,Australia,2009,100.0
AUS,Australia,2010,100.0
AUS,Australia,2011,100.0
AUS,Australia,2012,100.0
AUS,Australia,2013,100.0
AUS,Australia,2014,100.0
AUS,Australia,2015,100.0
AUS,Australia,2016,100.0
AUS,Australia,2017,100.0
AUS,Australia,2018,100.0
AUS,Australia,2019,100.0
AUS,Australia,2020,100.0
AUS,Australia,2021,100.0
AUS,Australia,2022,100.0
AUT,Austria,2005,98.0
AUT,Austria,2006,98.5
AUT,Austria,2007,98.7
AUT,Austria,2008,98.8
AUT,Austria,2009,99.0
AUT,Austria,2010,99.3
AUT,Austria,2011,99.9
AUT,Austria,2012,99.9
AUT,Austria,2013,99.9
AUT,Austria,2014,99.9
AUT,Austria,2015,99.9
AUT,Austria,2016,99.9
AUT,Austria,2017,99.9
AUT,Austria,2018,99.9
AUT,Austria,2019,99.9
AUT,Austria,2020,99.9
AUT,Austria,2021,99.9
AUT,Austria,2022,99.9
BEL,Belgium,2005,99.0
BEL,Belgium,2006,99.0
BEL,Belgium,2007,99.0
BEL,Belgium,2008,99.0
BEL,Belgium,2009,99.0
BEL,Belgium,2010,99.0
BEL,Belgium,2011,99.0
BEL,Belgium,2012,99.0
BEL,Belgium,2013,99.0
BEL,Belgium,2014,99.0
BEL,Belgium,2015,99.0
BEL,Belgium,2016,99.0
BEL,Belgium,2017,98.7
BEL,Belgium,2018,98.7
BEL,Belgium,2019,98.6
BEL,Belgium,2020,98.6
BEL,Belgium,2021,98.6
BEL,Belgium,2022,98.5
BGR,Bulgaria,2015,88.6
BGR,Bulgaria,2016,87.8
BGR,Bulgaria,2017,88.0
BGR,Bulgaria,2018,88.2
BGR,Bulgaria,2019,88.6
BGR,Bulgaria,2020,88.0
BGR,Bulgaria,2021,88.2
BGR,Bulgaria,2022,93.5
CAN,Canada,2005,100.0
CAN,Canada,2006,100.0
CAN,Canada,2007,100.0
CAN,Canada,2008,100.0
CAN,Canada,2009,100.0
CAN,Canada,2010,100.0
CAN,Canada,2011,100.0
CAN,Canada,2012,100.0
CAN,Canada,2013,100.0
CAN,Canada,2014,100.0
CAN,Canada,2015,100.0
CAN,Canada,2016,100.0
CAN,Canada,2017,100.0
CAN,Canada,2018,100.0
CAN,Canada,2019,100.0
CAN,Canada,2020,100.0
CAN,Canada,2021,100.0
CAN,Canada,2022,100.0
CHE,Switzerland,2005,100.0
CHE,Switzerland,2006,100.0
CHE,Switzerland,2007,100.0
CHE,Switzerland,2008,100.0
CHE,Switzerland,2009,100.0
CHE,Switzerland,2010,100.0
CHE,Switzerland,2011,100.0
CHE,Switzerland,2012,100.0
CHE,Switzerland,2013,100.0
CHE,Switzerland,2014,100.0
CHE,Switzerland,2015,100.0
CHE,Switzerland,2016,100.0
CHE,Switzerland,2017,100.0
CHE,Switzerland,2018,100.0
CHE,Switzerland,2019,100.0
CHE,Switzerland,2020,100.0
CHE,Switzerland,2021,100.0
CHE,Switzerland,2022,100.0
CHL,Chile,2005,68.9
CHL,Chile,2006,72.5
CHL,Chile,2007,74.0
CHL,Chile,2008,75.6
CHL,Chile,2009,74.6
CHL,Chile,2010,74.4
CHL,Chile,2011,76.5
CHL,Chile,2012,76.7
CHL,Chile,2013,76.4
CHL,Chile,2014,75.7
CHL,Chile,2015,73.8
CHL,Chile,2016,75.5
