country_code,country_name,year,value
AUS,Australia,2010,27.3
AUS,Australia,2011,32.5
AUS,Australia,2012,18.2
AUS,Australia,2013,13.7
AUS,Australia,2014,12.1
AUS,Australia,2015,21.8
AUS,Australia,2016,37.8
AUS,Australia,2017,7.8
AUS,Australia,2018,35.7
AUS,Australia,2019,22.3
AUS,Australia,2020,29.7
CAN,Canada,2010,12.2
CAN,Canada,2011,31.9
CAN,Canada,2012,21.9
CAN,Canada,2013,40.0
CAN,Canada,2014,30.6
CAN,Canada,2015,23.9
CAN,Canada,2016,13.3
CAN,Canada,2017,34.5
CAN,Canada,2018,18.0
CAN,Canada,2019,11.8
CAN,Canada,2020,30.7
DEU,Germany,2010,38.8
DEU,Germany,2011,24.9
DEU,Germany,2012,30.1
DEU,Germany,2013,20.4
DEU,Germany,2014,5.0
DEU,Germany,2015,11.3
DEU,Germany,2016,7.4
DEU,Germany,2017,5.1
DEU,Germany,2018,29.2
DEU,Germany,2019,10.8
DEU,Germany,2020,26.1
JPN,Japan,2010,30.0
JPN,Japan,2011,37.1
JPN,Japan,2012,13.5
JPN,Japan,2013,26.1
JPN,Japan,2014,25.3
JPN,Japan,2015,35.4
JPN,Japan,2016,35.8
JPN,Japan,2017,11.2
JPN,Japan,2018,23.3
JPN,Japan,2019,24.8
JPN,Japan,2020,34.5
ZAF,South Africa,2010,23.5
ZAF,South Africa,2011,15.6
ZAF,South Africa,2012,34.4
ZAF,South Africa,2013,10.5
ZAF,South Africa,2014,9.1
ZAF,South Africa,2015,26.3
ZAF,South Africa,2016,20.0
ZAF,South Africa,2017,25.8
ZAF,South Africa,2018,25.7
ZAF,South Africa,2019,19.4
ZAF,South Africa,2020,12.1
