country_code,country_name,year,value
AUS,Australia,2010,5.1
AUS,Australia,2011,7.7
AUS,Australia,2012,8.0
AUS,Australia,2013,8.0
AUS,Australia,2014,6.6
AUS,Australia,2015,7.2
AUS,Australia,2016,7.8
AUS,Australia,2017,6.0
AUS,Australia,2018,5.3
AUS,Australia,2019,5.0
AUS,Australia,2020,7.6
CAN,Canada,2010,6.6
CAN,Canada,2011,6.8
CAN,Canada,2012,6.6
CAN,Canada,2013,5.6
CAN,Canada,2014,7.8
CAN,Canada,2015,6.5
CAN,Canada,2016,6.5
CAN,Canada,2017,8.4
CAN,Canada,2018,7.0
CAN,Canada,2019,5.6
CAN,Canada,2020,5.8
DEU,Germany,2010,6.5
DEU,Germany,2011,6.9
DEU,Germany,2012,8.4
DEU,Germany,2013,7.1
DEU,Germany,2014,6.1
DEU,Germany,2015,6.5
DEU,Germany,2016,8.1
DEU,Germany,2017,5.4
DEU,Germany,2018,7.8
DEU,Germany,2019,7.8
DEU,Germany,2020,7.1
JPN,Japan,2010,5.8
JPN,Japan,2011,5.0
JPN,Japan,2012,7.6
JPN,Japan,2013,6.3
JPN,Japan,2014,6.7
JPN,Japan,2015,6.8
JPN,Japan,2016,7.8
JPN,Japan,2017,6.9
JPN,Japan,2018,6.6
JPN,Japan,2019,6.6
JPN,Japan,2020,6.9
ZAF,South Africa,2010,6.2
ZAF,South Africa,2011,7.7
ZAF,South Africa,2012,5.9
ZAF,South Africa,2013,7.8
ZAF,South Africa,2014,7.5
ZAF,South Africa,2015,5.5
ZAF,South Africa,2016,8.3
ZAF,South Africa,2017,6.2
ZAF,South Africa,2018,8.0
ZAF,South Africa,2019,5.8
ZAF,South Africa,2020,5.7
