country_code,country_name,year,value
AUS,Australia,2010,3.2
AUS,Australia,2011,3.1
AUS,Australia,2012,3.5
AUS,Australia,2013,2.5
AUS,Australia,2014,3.8
AUS,Australia,2015,2.2
AUS,Australia,2016,3.8
AUS,Australia,2017,1.9
AUS,Australia,2018,2.7
AUS,Australia,2019,3.5
AUS,Australia,2020,1.8
CAN,Canada,2010,3.4
CAN,Canada,2011,4.4
CAN,Canada,2012,4.4
CAN,Canada,2013,2.6
CAN,Canada,2014,2.5
CAN,Canada,2015,2.1
CAN,Canada,2016,4.3
CAN,Canada,2017,3.0
CAN,Canada,2018,4.4
CAN,Canada,2019,3.0
CAN,Canada,2020,4.0
DEU,Germany,2010,3.6
DEU,Germany,2011,2.6
DEU,Germany,2012,3.4
DEU,Germany,2013,3.7
DEU,Germany,2014,4.1
DEU,Germany,2015,4.0
DEU,Germany,2016,3.7
DEU,Germany,2017,1.7
DEU,Germany,2018,3.1
DEU,Germany,2019,1.9
DEU,Germany,2020,4.5
JPN,Japan,2010,2.5
JPN,Japan,2011,2.4
JPN,Japan,2012,2.7
JPN,Japan,2013,3.7
JPN,Japan,2014,3.2
JPN,Japan,2015,3.1
JPN,Japan,2016,2.2
JPN,Japan,2017,4.4
JPN,Japan,2018,2.3
JPN,Japan,2019,2.7
JPN,Japan,2020,3.7
ZAF,South Africa,2010,3.9
ZAF,South Africa,2011,1.8
ZAF,South Africa,2012,4.3
ZAF,South Africa,2013,2.3
ZAF,South Africa,2014,3.3
ZAF,South Africa,2015,1.8
ZAF,South Africa,2016,3.9
ZAF,South Africa,2017,3.6
ZAF,South Africa,2018,3.8
ZAF,South Africa,2019,4.2
ZAF,South Africa,2020,1.8
