country_code,country_name,year,value
AUS,Australia,2003,84323.97333333333
AUS,Australia,2004,90970.59999999999
AUS,Australia,2005,94665.75333333334
AUS,Australia,2006,96511.55333333333
AUS,Australia,2007,99070.44333333331
AUS,Australia,2008,104483.00666666667
AUS,Australia,2009,105595.91333333333
AUS,Australia,2010,54003.23
AUS,Australia,2011,113868.19333333331
AUS,Australia,2012,115522.36666666665
AUS,Australia,2013,113751.09333333334
AUS,Australia,2014,114896.07666666668
AUS,Australia,2015,115020.64666666667
AUS,Australia,2016,116998.03666666667
AUS,Australia,2017,117298.71666666667
AUS,Australia,2018,119252.98999999999
AUS,Australia,2019,120365.39000000001
AUS,Australia,2020,122020.78000000001
AUS,Australia,2021,133524.56333333332
AUS,Australia,2022,159559.72
AUT,Austria,2003,139164.445
AUT,Austria,2004,140164.04499999998
AUT,Austria,2005,136027.52500000002
AUT,Austria,2006,136295.455
AUT,Austria,2007,137271.02
AUT,Austria,2008,141622.415
AUT,Austria,2009,146434.885
AUT,Austria,2010,147132.555
AUT,Austria,2011,149272.35
AUT,Austria,2012,150670.93
AUT,Austria,2013,157261.18
AUT,Austria,2014,158723.53
AUT,Austria,2015,166624.70500000002
AUT,Austria,2016,177009.64
AUT,Austria,2017,184991.07
AUT,Austria,2018,196068.675
AUT,Austria,2019,210983.95
BEL,Belgium,2003,136002.69
BEL,Belgium,2004,149248.915
BEL,Belgium,2005,150938.04
BEL,Belgium,2006,114293.2
BEL,Belgium,2007,116225.29250000001
BEL,Belgium,2008,124963.0025
BEL,Belgium,2009,135197.9775
BEL,Belgium,2010,137552.0625
BEL,Belgium,2011,142553.865
BEL,Belgium,2012,147571.715
BEL,Belgium,2013,153711.635
BEL,Belgium,2014,157502.21
BEL,Belgium,2015,155135.72999999998
BEL,Belgium,2016,161051.11
BEL,Belgium,2017,160310.66999999998
BEL,Belgium,2018,163586.32
BEL,Belgium,2019,173408.98
BEL,Belgium,2020,173874.38
BEL,Belgium,2021,191232.56
BEL,Belgium,2022,220281.57666666666
BGR,Bulgaria,2010,15434.34
BGR,Bulgaria,2014,23172.0
BGR,Bulgaria,2018,29609.33
CAN,Canada,2003,96741.66666666667
CAN,Canada,2004,100135.69333333334
CAN,Canada,2005,105559.52333333332
CAN,Canada,2006,105180.35999999999
CAN,Canada,2007,111481.90999999999
CAN,Canada,2008,112893.70333333332
CAN,Canada,2009,122538.97000000002
CAN,Canada,2010,125399.23333333332
CAN,Canada,2011,131751.30333333334
CAN,Canada,2012,141995.18333333332
CAN,Canada,2013,143086.58
CAN,Canada,2014,143601.22333333333
CAN,Canada,2015,142288.82666666666
CAN,Canada,2016,148106.72666666665
CAN,Canada,2017,150140.65666666668
CAN,Canada,2018,153013.35333333333
CAN,Canada,2019,153019.44
CAN,Canada,2020,150966.13
CAN,Canada,2021,162050.3633333333
CAN,Canada,2022,66693.59
CAN,Canada,2023,69215.52
CHE,Switzerland,2010,43039.39
CHE,Switzerland,2011,46468.05
CHE,Switzerland,2012,48972.27
CHE,Switzerland,2013,51502.95
CHE,Switzerland,2014,52381.61
CHE,Switzerland,2015,53130.31
CHE,Switzerland,2016,54296.87
CHE,Switzerland,2017,54741.35
CHE,Switzerland,2018,55089.84
CHE,Switzerland,2019,158842.10666666666
CHE,Switzerland,2020,161481.58
CHE,Switzerland,2021,173275.84666666668
CHE,Switzerland,2022,67034.27
CHL,Chile,2011,47314.93666666667
CHL,Chile,2012,51187.32333333333
CHL,Chile,2013,64071.113333333335
CHL,Chile,2014,71404.54666666668
CHL,Chile,2015,82034.97666666667
CHL,Chile,2016,86936.98
CHL,Chile,2017,85753.77666666667
CHL,Chile,2018,89644.01333333332
CHL,Chile,2019,91394.93333333333
CHL,Chile,2020,90262.50666666665
CHL,Chile,2021,90318.80333333333
CHL,Chile,2022,91824.49333333333
CHL,Chile,2023,99748.70333333332
CRI,Costa Rica,2003,38288.39333333333
CRI,Costa Rica,2004,39065.71
CRI,Costa Rica,2005,38659.183333333334
CRI,Costa Rica,2006,42831.236666666664
CRI,Costa Rica,2007,43989.98333333334
CRI,Costa Rica,2008,49804.39333333333
CRI,Costa Rica,2009,53221.113333333335
CRI,Costa Rica,2010,60086.35333333333
CRI,Costa Rica,2011,63167.86666666666
CRI,Costa Rica,2012,66217.85333333333
CRI,Costa Rica,2013,68198.24
CRI,Costa Rica,2014,69305.05333333333
CRI,Costa Rica,2015,69560.99666666666
CRI,Costa Rica,2016,70308.81333333334
CRI,Costa Rica,2017,71561.11666666667
CRI,Costa Rica,2018,72735.93666666666
CRI,Costa Rica,2019,74397.29333333333
CRI,Costa Rica,2020,64074.35666666667
CZE,Czechia,2003,20287.434999999998
CZE,Czechia,2004,20635.125
CZE,Czechia,2005,21735.9
CZE,Czechia,2006,23489.28
CZE,Czechia,2007,38049.82
CZE,Czechia,2008,44733.0125
CZE,Czechia,2009,28561.440000000002
CZE,Czechia,2010,30357.22
CZE,Czechia,2011,33943.490000000005
CZE,Czechia,2012,34040.375
CZE,Czechia,2013,34757.990000000005
CZE,Czechia,2014,37007.105
CZE,Czechia,2015,38832.840000000004
CZE,Czechia,2016,41729.69
CZE,Czechia,2017,45341.635
CZE,Czechia,2018,49481.655
CZE,Czechia,2019,54934.95
CZE,Czechia,2020,60382.39
CZE,Czechia,2021,69461.05
CZE,Czechia,2022,67495.795
DEU,Germany,2003,132258.065
DEU,Germany,2006,40440.0
DEU,Germany,2007,153370.785
DEU,Germany,2008,138068.18
DEU,Germany,2009,142988.51
DEU,Germany,2010,95468.825
DEU,Germany,2011,178514.05666666667
DEU,Germany,2012,153493.98
DEU,Germany,2013,156385.54
DEU,Germany,2014,105642.06999999999
DEU,Germany,2015,202449.80000000002
DEU,Germany,2016,168518.52
DEU,Germany,2017,172625.0
DEU,Germany,2018,119377.565
DEU,Germany,2019,246271.93000000002
DEU,Germany,2020,194133.33
DEU,Germany,2021,276756.75666666665
DEU,Germany,2022,140296.575
DNK,Denmark,2003,59026.345
DNK,Denmark,2004,75335.44666666667
DNK,Denmark,2005,64909.765
DNK,Denmark,2006,83887.21333333333
DNK,Denmark,2007,74696.135
DNK,Denmark,2008,108790.02
DNK,Denmark,2009,98320.48666666665
DNK,Denmark,2010,86442.66
DNK,Denmark,2011,100247.08666666667
DNK,Denmark,2012,87803.925
DNK,Denmark,2013,89996.91500000001
DNK,Denmark,2014,90309.36
DNK,Denmark,2015,91425.09
DNK,Denmark,2016,93849.205
DNK,Denmark,2017,98146.935
DNK,Denmark,2018,101758.035
DNK,Denmark,2019,105749.79999999999
DNK,Denmark,2020,108077.95000000001
DNK,Denmark,2021,116209.23999999999
DNK,Denmark,2022,116723.2
DNK,Denmark,2023,120965.365
ESP,Spain,2011,67955.90666666666
ESP,Spain,2012,63410.56666666667
ESP,Spain,2013,67161.16666666667
ESP,Spain,2014,69750.52333333333
ESP,Spain,2015,70250.2
ESP,Spain,2016,73136.37333333334
ESP,Spain,2017,76238.7
ESP,Spain,2018,83079.93333333333
ESP,Spain,2019,90177.38333333335
ESP,Spain,2020,91324.38
ESP,Spain,2021,92461.93666666666
ESP,Spain,2022,100437.36333333333
ESP,Spain,2023,108806.82666666666
EST,Estonia,2006,19423.3475
EST,Estonia,2007,21762.485
EST,Estonia,2008,28092.5625
EST,Estonia,2009,30283.114999999998
EST,Estonia,2010,29801.575
EST,Estonia,2011,33501.775
EST,Estonia,2012,31611.64
EST,Estonia,2013,34332.975
EST,Estonia,2014,36137.015
EST,Estonia,2015,39574.4625
EST,Estonia,2016,44412.7475
EST,Estonia,2017,45074.22
EST,Estonia,2018,48773.9075
EST,Estonia,2019,54692.065
EST,Estonia,2020,63774.8425
EST,Estonia,2021,71304.2575
EST,Estonia,2022,74786.82250000001
EST,Estonia,2023,64162.87666666667
FIN,Finland,2003,46851.213333333326
FIN,Finland,2004,49140.880000000005
FIN,Finland,2005,51053.89333333333
FIN,Finland,2006,55153.84666666667
FIN,Finland,2007,58057.75333333333
FIN,Finland,2008,63054.88333333334
FIN,Finland,2009,64894.94999999999
FIN,Finland,2010,70142.85666666667
FIN,Finland,2011,73092.09666666666
FIN,Finland,2012,73776.09333333334
FIN,Finland,2013,76272.78666666667
FIN,Finland,2014,75935.37333333334
FIN,Finland,2015,77114.96666666666
FIN,Finland,2016,78419.3
FIN,Finland,2017,79074.82333333333
FIN,Finland,2018,82653.76666666668
FIN,Finland,2019,87352.96333333333
FIN,Finland,2020,90637.45666666667
FIN,Finland,2021,96470.5
FIN,Finland,2022,103128.96666666667
FRA,France,2005,137311.825
FRA,France,2006,52897.310000000005
FRA,France,2007,55986.02
FRA,France,2008,104255.375
FRA,France,2009,57756.595
FRA,France,2010,59250.555
FRA,France,2011,116763.92
FRA,France,2012,62397.19499999999
FRA,France,2013,65304.07
FRA,France,2014,124854.65
FRA,France,2015,65226.44
FRA,France,2016,67472.35
FRA,France,2017,134208.2375
FRA,France,2018,70325.0
FRA,France,2019,73062.345
FRA,France,2020,77798.10500000001
FRA,France,2021,84209.74
GBR,United Kingdom,2003,111572.37
GBR,United Kingdom,2004,139951.35
GBR,United Kingdom,2005,149492.11
GBR,United Kingdom,2006,110448.0
GBR,United Kingdom,2007,109256.57999999999
GBR,United Kingdom,2008,109868.425
GBR,United Kingdom,2009,119567.09333333334
GBR,United Kingdom,2010,98505.77
GBR,United Kingdom,2011,97261.5375
GBR,United Kingdom,2012,95494.3025
GBR,United Kingdom,2013,94403.795
GBR,United Kingdom,2014,93889.6875
GBR,United Kingdom,2015,94111.42
GBR,United Kingdom,2016,98469.305
GBR,United Kingdom,2017,100751.265
GBR,United Kingdom,2018,104438.465
GBR,United Kingdom,2019,110754.605
GBR,United Kingdom,2020,115208.665
GBR,United Kingdom,2021,48994.44
GBR,United Kingdom,2022,105635.15999999999
GRC,Greece,2004,31095.57
GRC,Greece,2005,56171.0
GRC,Greece,2009,56111.274999999994
GRC,Greece,2010,51292.909999999996
GRC,Greece,2011,50530.024999999994
GRC,Greece,2012,49605.884999999995
GRC,Greece,2013,45893.0
GRC,Greece,2014,47888.345
GRC,Greece,2015,45300.0
GRC,Greece,2019,47816.87
GRC,Greece,2020,49528.97
GRC,Greece,2021,53218.335
GRC,Greece,2022,54887.65
GRC,Greece,2023,57745.455
HRV,Croatia,2022,66079.75666666667
HUN,Hungary,2003,20898.236666666668
HUN,Hungary,2004,20824.986666666668
HUN,Hungary,2005,22459.316666666666
HUN,Hungary,2006,23021.003333333338
HUN,Hungary,2007,22532.553333333333
HUN,Hungary,2008,24440.926666666666
HUN,Hungary,2009,24131.99
HUN,Hungary,2010,24214.446666666667
HUN,Hungary,2011,24847.66
HUN,Hungary,2012,26952.36
HUN,Hungary,2013,30802.803333333333
HUN,Hungary,2014,32214.11333333333
HUN,Hungary,2015,33211.02333333334
HUN,Hungary,2016,37740.043333333335
HUN,Hungary,2017,41536.10666666667
HUN,Hungary,2018,46565.056666666664
HUN,Hungary,2019,48345.55333333334
HUN,Hungary,2020,52687.38333333333
HUN,Hungary,2021,85752.80666666667
HUN,Hungary,2022,102787.51000000001
IRL,Ireland,2004,86474.77
IRL,Ireland,2005,92237.85
IRL,Ireland,2006,100795.755
IRL,Ireland,2007,101851.87
IRL,Ireland,2008,107007.94
IRL,Ireland,2009,137571.89666666667
IRL,Ireland,2010,130362.54
IRL,Ireland,2011,129964.58333333333
IRL,Ireland,2012,119308.24666666666
IRL,Ireland,2013,117109.27666666666
IRL,Ireland,2014,112532.35666666667
IRL,Ireland,2015,109716.90000000001
IRL,Ireland,2016,116074.26666666666
IRL,Ireland,2017,117231.06666666667
IRL,Ireland,2018,117812.90999999999
IRL,Ireland,2019,125000.91333333333
IRL,Ireland,2020,127242.99333333333
IRL,Ireland,2021,128180.83666666667
IRL,Ireland,2022,124002.315
IRL,Ireland,2023,126385.615
ISL,Iceland,2005,80577.04
ISL,Iceland,2007,84415.27
ISL,Iceland,2008,82501.33333333333
ISL,Iceland,2009,73190.56666666667
ISL,Iceland,2010,70685.75333333334
ISL,Iceland,2011,74007.46666666666
ISL,Iceland,2012,78509.54333333333
ISL,Iceland,2013,80833.53333333333
ISL,Iceland,2014,85982.12333333334
ISL,Iceland,2015,97364.39
ISL,Iceland,2016,100697.73999999999
ISL,Iceland,2017,106645.20666666667
ISL,Iceland,2018,111416.06999999999
ISL,Iceland,2019,117137.02999999998
ISL,Iceland,2020,123943.26000000001
ISL,Iceland,2021,127164.31666666665
ISR,Israel,2003,48504.78666666666
ISR,Israel,2004,49999.573333333334
ISR,Israel,2005,50478.40333333333
ISR,Israel,2006,66372.862
ISR,Israel,2007,68667.868
ISR,Israel,2008,68274.622
ISR,Israel,2009,71368.676
ISR,Israel,2010,71637.408
ISR,Israel,2011,76962.81
ISR,Israel,2012,79495.986
ISR,Israel,2013,82199.492
ISR,Israel,2014,82359.34400000001
ISR,Israel,2015,87852.284
ISR,Israel,2016,94637.84
ISR,Israel,2017,98026.91799999999
ISR,Israel,2018,98246.01
ISR,Israel,2019,101951.356
ISR,Israel,2020,102381.318
ISR,Israel,2021,109709.4
ISR,Israel,2022,117853.55600000001
ISR,Israel,2023,65609.61
ITA,Italy,2005,55028.655
ITA,Italy,2006,57697.725
ITA,Italy,2007,53913.07
ITA,Italy,2008,61208.235
ITA,Italy,2009,60011.31
ITA,Italy,2010,63317.685
ITA,Italy,2011,62379.880000000005
ITA,Italy,2012,61634.34
ITA,Italy,2013,62452.44
ITA,Italy,2014,61654.215
ITA,Italy,2015,59081.325
ITA,Italy,2016,62072.785
ITA,Italy,2017,62868.59
ITA,Italy,2018,65451.315
ITA,Italy,2019,69129.86
ITA,Italy,2020,77945.77
ITA,Italy,2021,76510.0
ITA,Italy,2022,82707.45999999999
ITA,Italy,2023,83499.245
JPN,Japan,2008,35686.5
JPN,Japan,2010,39205.16
JPN,Japan,2012,41804.54
JPN,Japan,2014,43321.12
JPN,Japan,2016,41838.51
JPN,Japan,2018,41981.28
JPN,Japan,2020,43528.63
JPN,Japan,2022,48407.16
KOR,Korea,2010,104184.35
KOR,Korea,2011,113805.63999999998
KOR,Korea,2012,117420.992
KOR,Korea,2013,115116.76400000001
KOR,Korea,2014,118378.24799999999
KOR,Korea,2015,126319.486
KOR,Korea,2016,133920.184
KOR,Korea,2017,136097.044
KOR,Korea,2018,145997.912
KOR,Korea,2019,156968.47000000003
KOR,Korea,2020,154605.90999999997
LTU,Lithuania,2006,16505.0
LTU,Lithuania,2010,20212.816666666666
LTU,Lithuania,2014,25398.0
LTU,Lithuania,2018,34940.666666666664
LTU,Lithuania,2022,71764.77999999998
LUX,Luxembourg,2003,137097.0825
LUX,Luxembourg,2004,135177.368
LUX,Luxembourg,2005,146488.13
LUX,Luxembourg,2006,148235.13999999998
LUX,Luxembourg,2007,154381.516
LUX,Luxembourg,2008,165785.36000000002
LUX,Luxembourg,2009,177561.03399999999
LUX,Luxembourg,2010,181615.46399999998
LUX,Luxembourg,2011,198648.054
LUX,Luxembourg,2012,212111.288
LUX,Luxembourg,2013,223412.154
LUX,Luxembourg,2014,237181.302
LUX,Luxembourg,2015,243915.356
LUX,Luxembourg,2016,86744.28
LUX,Luxembourg,2017,96743.43
LUX,Luxembourg,2018,102634.81
LUX,Luxembourg,2019,103379.95
LUX,Luxembourg,2020,104324.34
LUX,Luxembourg,2021,114743.29
LUX,Luxembourg,2022,119215.95
LUX,Luxembourg,2023,125495.19
LVA,Latvia,2006,13496.295000000002
LVA,Latvia,2010,18670.76
LVA,Latvia,2014,21429.823333333334
LVA,Latvia,2018,33558.47666666666
MEX,Mexico,2003,29864.713333333333
MEX,Mexico,2004,29961.823333333334
MEX,Mexico,2005,31764.83666666667
MEX,Mexico,2006,33397.49333333334
MEX,Mexico,2007,33351.723333333335
MEX,Mexico,2008,33794.486666666664
MEX,Mexico,2009,34163.8
MEX,Mexico,2010,34208.386666666665
MEX,Mexico,2011,35822.97
MEX,Mexico,2012,36504.87
MEX,Mexico,2013,38282.89
MEX,Mexico,2014,39139.113333333335
MEX,Mexico,2015,40377.3
MEX,Mexico,2016,41799.80666666667
MEX,Mexico,2017,40486.08666666666
MEX,Mexico,2018,41402.75666666667
MEX,Mexico,2019,41418.03666666667
MEX,Mexico,2020,41539.700000000004
MEX,Mexico,2021,43018.113333333335
MEX,Mexico,2022,47214.46666666667
NLD,Netherlands,2003,97086.022
NLD,Netherlands,2004,100649.232
NLD,Netherlands,2005,103536.224
NLD,Netherlands,2006,126000.448
NLD,Netherlands,2007,134773.86200000002
NLD,Netherlands,2008,143734.484
NLD,Netherlands,2009,151662.298
NLD,Netherlands,2010,140451.818
NLD,Netherlands,2011,136614.32
NLD,Netherlands,2012,137605.456
NLD,Netherlands,2013,139533.332
NLD,Netherlands,2014,137231.588
NLD,Netherlands,2015,130034.606
NLD,Netherlands,2016,135754.944
NLD,Netherlands,2017,137616.74599999998
NLD,Netherlands,2018,141641.526
NLD,Netherlands,2019,146073.76799999998
NLD,Netherlands,2020,151220.28999999998
NLD,Netherlands,2021,158842.082
NLD,Netherlands,2022,146542.4
NOR,Norway,2003,51163.255
NOR,Norway,2004,51916.265
NOR,Norway,2005,52992.36
NOR,Norway,2006,55405.715
NOR,Norway,2007,59417.03
NOR,Norway,2008,60192.31
NOR,Norway,2009,61585.74
NOR,Norway,2010,62525.615000000005
NOR,Norway,2011,64989.775
NOR,Norway,2012,66540.815
NOR,Norway,2013,67267.14499999999
NOR,Norway,2014,69096.445
NOR,Norway,2015,69685.625
NOR,Norway,2016,69274.83499999999
NOR,Norway,2017,74763.09999999999
NOR,Norway,2018,77905.36499999999
NOR,Norway,2019,80966.52
NOR,Norway,2020,82115.95
NOR,Norway,2021,89637.145
NOR,Norway,2022,97001.08499999999
